artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
D12,My Band,298773,VERDADERO,2004,73,851,849,1,-3.383,0,828,497,2.05e-06,116,844,120.014,"hip hop, pop, rock"
Kanye West,Jesus Walks,193733,VERDADERO,2004,73,637,834,3,-4.686,0,323,614,0.0,317,715,87.312,hip hop
JAY-Z,Numb / Encore,205733,VERDADERO,2004,76,687,793,2,-4.254,1,166,603,0.0,582,751,107.045,hip hop
Kanye West,Through The Wire,221226,VERDADERO,2004,76,571,739,7,-6.11,1,247,865,5.21e-06,158,660,83.089,hip hop
Usher,My Boo,223440,FALSO,2004,76,662,507,5,-8.238,1,118,257,0.0,465,676,86.412,"hip hop, pop, R&B"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,VERDADERO,2004,77,686,735,2,-4.616,1,264,921,66,342,596,171.355,hip hop
Eminem,Mockingbird,250760,VERDADERO,2004,77,637,678,0,-3.798,1,266,209,0.0,156,254,84.039,hip hop
Franz Ferdinand,Take Me Out,237026,FALSO,2004,77,277,663,4,-8.821,0,377,409,51,136,527,104.561,rock
Green Day,American Idiot,176346,VERDADERO,2004,77,380,988,1,-2.042,1,639,2.64e-05,7.86e-05,368,769,186.113,rock
Kanye West,All Falls Down,223506,VERDADERO,2004,80,657,734,8,-4.832,0,484,149,0.0,139,434,91.03,hip hop
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,FALSO,2004,81,894,791,2,-4.699,1,112,183,0.0,388,583,105.018,"hip hop, pop, R&B"
Mariah Carey,It's Like That,203360,FALSO,2005,0,800,633,8,-4.875,0,514,901,0.0,315,836,95.953,"pop, R&B"
Mariah Carey,Don't Forget About Us - Radio Edit,233866,FALSO,2005,0,700,529,10,-6.816,0,395,422,0.0,101,386,143.555,"pop, R&B"
T-Pain,I'm Sprung,231040,FALSO,2005,0,722,329,0,-11.617,0,108,88,0.0,810,166,99.991,"hip hop, pop, R&B"
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),265333,VERDADERO,2005,0,731,368,8,-10.38,1,688,544,0.0,193,512,145.171,"hip hop, pop, R&B"
Westlife,You Raise Me Up,241066,FALSO,2005,1,129,358,10,-6.596,1,314,631,0.0,886,172,75.048,pop
Baby Bash,"Baby, I'm Back",219920,VERDADERO,2005,4,899,365,9,-5.461,0,105,508,0.0,97,749,100.01,"hip hop, pop, R&B, latin"
Robyn,With Every Heartbeat,254920,FALSO,2005,36,477,865,4,-4.462,0,395,877,4.52e-05,271,413,120.872,"pop, Dance/Electronic"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,FALSO,2005,41,905,550,1,-7.558,1,372,628,0.0,644,520,100.813,"hip hop, pop"
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231866,VERDADERO,2005,42,684,819,1,-3.309,0,238,262,197,113,250,179.999,"hip hop, pop, rock"
Meck,Thunder in My Heart Again (Radio Edit),189800,FALSO,2005,46,679,922,2,-4.67,0,294,241,0.69,697,806,129.016,set()
Bob Sinclar,Love Generation - Radio Edit,207613,FALSO,2005,49,715,812,1,-5.758,1,620,175,134,440,554,128.04,"pop, Dance/Electronic"
JoJo,Leave (Get Out) - Radio Edit,242746,FALSO,2005,49,656,513,5,-8.691,1,253,156,6.45e-05,763,464,86.891,"hip hop, pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,FALSO,2005,52,939,498,5,-10.94,0,161,444,128,475,801,113.053,"pop, R&B"
David Banner,Play,230133,VERDADERO,2005,52,837,658,1,-8.013,0,126,213,122,243,586,95.027,"hip hop, pop"
Natalie Imbruglia,Shiver,222653,FALSO,2005,52,489,798,1,-4.49,1,316,115,2.81e-06,149,309,94.163,"pop, Folk/Acoustic"
Bodyrockers,I Like The Way - Radio Edit,200053,FALSO,2005,54,642,851,6,-3.638,1,431,248,146,840,777,127.988,"rock, Dance/Electronic"
Jeezy,Soul Survivor,280013,VERDADERO,2005,55,684,493,10,-7.728,1,459,839,0.0,157,80,84.03,"hip hop, pop"
Craig David,Don't Love You No More (I'm Sorry),243986,FALSO,2005,56,636,558,7,-7.076,1,245,462,0.0,620,572,100.113,"hip hop, pop, R&B"
Rob Thomas,Lonely No More,226640,FALSO,2005,56,551,896,9,-3.152,0,109,33,0.0,899,858,171.79,"pop, Folk/Acoustic"
The Pussycat Dolls,Beep,229360,FALSO,2005,57,938,735,7,-6.382,1,434,952,0.0,998,550,103.7,"pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),179160,VERDADERO,2005,57,933,513,7,-13.203,1,347,112,248,107,595,102.017,"hip hop, pop"
Kaiser Chiefs,Everyday I Love You Less And Less,217706,FALSO,2005,58,490,956,1,-4.556,0,407,466,6.15e-06,242,577,160.028,rock
Robbie Williams,Tripping,276603,FALSO,2005,58,666,922,2,-4.458,0,429,381,191,633,828,118.014,"pop, rock"
The Veronicas,Untouched,255360,FALSO,2005,58,557,783,6,-4.893,0,234,171,172,151,442,177.008,"pop, Dance/Electronic"
Pretty Ricky,Your Body,240040,VERDADERO,2005,59,838,594,4,-5.695,0,113,176,0.0,867,507,90.038,"hip hop, pop, R&B"
Sean Paul,We Be Burnin',213066,FALSO,2005,59,950,803,1,-4.195,1,151,145,0.0,748,860,117.0,"hip hop, pop"
50 Cent,Outta Control - Remix,247506,VERDADERO,2005,60,772,599,8,-5.996,0,246,277,0.0,839,557,92.029,"hip hop, pop"
Katie Melua,Nine Million Bicycles,197160,FALSO,2005,60,534,247,0,-15.636,1,322,516,859,122,344,82.168,"pop, easy listening, jazz"
Nelly,Grillz,271160,FALSO,2005,60,867,504,4,-7.737,0,241,358,0.0,307,840,82.996,"hip hop, pop, R&B"
Black Eyed Peas,Don't Lie,219000,FALSO,2005,61,662,785,9,-5.299,1,186,0.16,0.0,784,604,89.885,"hip hop, pop"
Franz Ferdinand,Do You Want To,215000,FALSO,2005,61,412,944,0,-2.896,1,448,724,493,801,790,123.091,rock
Kanye West,Diamonds From Sierra Leone - Remix,233400,VERDADERO,2005,61,672,814,7,-3.768,1,270,258,0.0,164,379,97.043,hip hop
Madonna,Sorry,281880,FALSO,2005,61,589,877,0,-6.229,0,460,121,13,169,443,132.971,pop
Black Eyed Peas,Don't Phunk With My Heart,239773,FALSO,2005,62,690,928,5,-2.76,0,610,937,0.0,547,604,130.889,"hip hop, pop"
Bow Wow,Let Me Hold You (feat. Omarion),248493,FALSO,2005,62,815,662,6,-8.244,1,199,915,409,898,611,151.518,"hip hop, pop, R&B"
Bubba Sparxxx,Ms. New Booty,252653,VERDADERO,2005,62,640,620,1,-5.931,1,416,16,0.0,831,609,129.37,"hip hop, pop, country"
Ray J,One Wish,337640,FALSO,2005,62,525,652,5,-7.042,0,280,278,0.0,339,602,127.673,"hip hop, pop, R&B"
Backstreet Boys,Incomplete,239586,FALSO,2005,63,437,589,4,-4.834,1,331,231,0.0,768,165,133.631,pop
Chris Brown,Gimme That,186826,FALSO,2005,63,678,572,11,-7.033,0,466,374,6.59e-05,118,444,87.165,"hip hop, pop, R&B"
D4L,Laffy Taffy,224253,VERDADERO,2005,63,891,439,7,-7.994,0,428,351,0.0,932,622,77.499,"hip hop, pop"
D4L,Laffy Taffy,224253,VERDADERO,2005,63,891,439,7,-7.994,0,428,351,0.0,932,622,77.499,"hip hop, pop"
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSO,2005,63,660,707,6,-5.758,1,208,397,0.0,211,761,89.279,"hip hop, pop"
Kaiser Chiefs,I Predict A Riot,233186,FALSO,2005,63,395,979,8,-3.241,1,766,243,0.0,120,410,158.842,rock
Pretty Ricky,Grind With Me,237733,VERDADERO,2005,63,700,538,1,-5.952,1,450,204,0.0,105,189,136.518,"hip hop, pop, R&B"
The Chemical Brothers,Galvanize,393813,FALSO,2005,63,745,714,7,-3.681,1,751,141,222,363,365,104.003,Dance/Electronic
KT Tunstall,Black Horse And The Cherry Tree,172373,FALSO,2005,64,748,786,4,-7.788,0,641,328,0.0,340,917,104.833,"World/Traditional, pop, Folk/Acoustic"
Mary J. Blige,One,260466,FALSO,2005,64,344,874,0,-3.161,1,777,841,0.0,129,269,185.888,"pop, R&B"
Sugababes,Push The Button,218093,FALSO,2005,64,962,660,8,-5.096,1,610,485,0.0,760,814,126.016,"pop, R&B"
Bobby V.,"Slow Down - 12"" Version",258666,FALSO,2005,65,568,732,11,-4.896,0,103,179,4.92e-06,401,626,186.048,"hip hop, pop, R&B"
Jennifer Lopez,Get Right,225533,FALSO,2005,65,741,759,0,-5.096,0,120,218,0.0,628,362,97.084,"hip hop, pop, R&B"
Nickelback,Savin' Me,219320,FALSO,2005,65,441,815,3,-4.088,1,276,731,0.0,414,522,164.007,"rock, metal"
The All-American Rejects,Dirty Little Secret,193653,FALSO,2005,65,469,955,10,-4.253,1,432,343,1.35e-06,548,462,143.853,"rock, pop"
The All-American Rejects,Dirty Little Secret,193653,FALSO,2005,65,469,955,10,-4.253,1,432,343,1.35e-06,548,462,143.853,"rock, pop"
Bow Wow,Like You (feat. Ciara),205840,FALSO,2005,66,714,600,6,-8.365,1,876,465,0.0,646,504,82.017,"hip hop, pop, R&B"
Black Eyed Peas,My Humps,326960,FALSO,2005,67,802,682,1,-5.924,0,222,111,1.39e-05,109,586,123.95,"hip hop, pop"
Crazy Frog,Axel F,168879,FALSO,2005,67,860,907,2,-3.321,1,407,279,693,648,786,138.045,pop
James Blunt,Goodbye My Lover,258653,FALSO,2005,67,432,261,4,-12.591,1,512,953,342,903,273,89.567,pop
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,VERDADERO,2005,67,904,813,4,-7.105,0,121,311,697,471,810,125.461,"hip hop, pop, R&B"
Nickelback,Photograph,258920,FALSO,2005,67,515,876,8,-3.756,1,292,932,166,136,385,145.916,"rock, metal"
Snoop Dogg,Beautiful,299146,VERDADERO,2005,67,893,740,11,-4.936,0,132,299,0.0,881,963,101.025,"hip hop, pop"
The Pussycat Dolls,Stickwitu,207506,FALSO,2005,67,548,554,9,-6.408,1,587,283,0.0,708,382,79.918,"pop, R&B"
Toby Keith,As Good As I Once Was,227840,FALSO,2005,67,680,870,5,-4.461,1,393,266,0.0,109,646,119.075,country
Eminem,When I'm Gone,281320,VERDADERO,2005,68,618,746,10,-5.476,0,352,553,0.0,273,750,75.272,hip hop
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",286186,VERDADERO,2005,68,833,628,2,-7.041,1,141,949,1.6e-06,282,645,106.328,hip hop
The Pussycat Dolls,Buttons,225560,FALSO,2005,68,565,817,2,-4.338,1,270,152,0.0,247,477,210.851,"pop, R&B"
Chris Brown,Yo (Excuse Me Miss),229040,FALSO,2005,69,536,612,4,-5.847,1,272,119,0.0,209,570,86.768,"hip hop, pop, R&B"
Coldplay,Speed of Sound,287906,FALSO,2005,69,514,898,11,-6.765,0,577,488,345,746,353,123.067,"rock, pop"
Mariah Carey,We Belong Together,201400,FALSO,2005,69,840,476,0,-7.918,1,629,264,0.0,865,767,139.987,"pop, R&B"
Mary J. Blige,Be Without You - Kendu Mix,246333,VERDADERO,2005,69,726,700,2,-5.881,0,998,717,0.0,262,673,146.559,"pop, R&B"
Nickelback,Rockstar,252040,FALSO,2005,69,616,910,0,-3.004,1,386,459,0.0,343,693,144.072,"rock, metal"
Stereophonics,Dakota,297426,FALSO,2005,69,506,930,4,-3.499,1,675,129,682,931,305,146.994,"rock, pop"
Nickelback,Far Away,238173,FALSO,2005,70,518,797,6,-5.153,1,309,681,0.0,107,293,132.918,"rock, metal"
Panic! At The Disco,I Write Sins Not Tragedies,185586,FALSO,2005,70,566,815,9,-4.481,0,140,737,0.0,120,672,169.961,rock
Chamillionaire,Ridin',303053,VERDADERO,2005,71,787,799,8,-4.68,0,993,189,0.0,300,835,143.052,"hip hop, pop"
Chris Brown,Run It! (feat. Juelz Santana),229866,FALSO,2005,71,846,482,1,-6.721,0,129,246,0.0,393,212,100.969,"hip hop, pop, R&B"
KT Tunstall,Suddenly I See,201706,FALSO,2005,71,587,767,0,-5.713,1,449,225,0.0,112,664,100.38,"World/Traditional, pop, Folk/Acoustic"
50 Cent,Disco Inferno,214226,VERDADERO,2005,72,925,659,3,-4.763,1,231,206,7.88e-05,279,710,97.018,"hip hop, pop"
Keyshia Cole,Love,255333,FALSO,2005,72,688,519,5,-4.285,1,283,64,0.0,100,318,116.714,"hip hop, pop, R&B"
Shakira,La Tortura (feat. Alejandro Sanz),212893,FALSO,2005,72,740,783,0,-5.367,1,427,297,308,123,812,100.011,"pop, latin"
The Pussycat Dolls,Don't Cha,272080,FALSO,2005,72,875,631,1,-3.475,1,990,542,2.54e-06,127,549,120.003,"pop, R&B"
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,VERDADERO,2005,73,688,835,8,-4.162,1,911,583,2.87e-06,795,880,84.858,"hip hop, pop, rock"
Gorillaz,DARE,244999,FALSO,2005,73,760,891,11,-5.852,0,372,229,869,298,966,120.264,hip hop
Kanye West,Touch The Sky,236600,VERDADERO,2005,73,552,846,9,-4.912,1,342,114,0.0,309,554,98.56,hip hop
Daniel Powter,Bad Day,233640,FALSO,2005,74,599,785,3,-4.013,1,309,448,336,151,520,140.046,pop
Eminem,Shake That,274440,VERDADERO,2005,74,963,643,1,-5.785,0,117,507,4.94e-05,157,534,107.005,hip hop
Fall Out Boy,"Dance, Dance",180266,FALSO,2005,74,622,961,11,-3.198,0,154,523,0.0,854,449,114.452,rock
Madonna,Hung Up,337733,FALSO,2005,74,649,647,9,-7.695,0,452,39,161,686,405,125.02,pop
The Game,How We Do,235533,VERDADERO,2005,74,862,648,4,-7.401,0,251,455,0.0,332,637,98.012,"hip hop, pop"
Thirty Seconds To Mars,The Kill,231533,FALSO,2005,74,179,912,4,-3.881,0,791,14,294,582,289,182.99,rock
Black Eyed Peas,Pump It,213066,FALSO,2005,75,648,931,1,-3.15,0,181,937,0.0,752,744,153.649,"hip hop, pop"
James Blunt,You're Beautiful,209493,VERDADERO,2005,75,675,479,0,-9.87,0,278,633,1.76e-05,880,454,81.998,pop
50 Cent,Just A Lil Bit,237706,VERDADERO,2005,76,489,692,1,-6.672,1,410,322,608,315,527,96.946,"hip hop, pop"
Carrie Underwood,Before He Cheats,199946,FALSO,2005,76,519,749,6,-3.318,0,405,271,0.0,119,290,147.905,"pop, country"
Foo Fighters,Best of You,255626,FALSO,2005,76,366,940,1,-5.119,0,696,769,9.42e-05,188,369,130.198,"rock, metal"
Rihanna,Pon de Replay,246960,FALSO,2005,77,779,640,7,-8.415,1,159,155,77,101,498,99.019,"hip hop, pop, R&B"
The Game,Hate It Or Love It,206400,VERDADERO,2005,77,802,785,9,-4.781,1,207,0.14,0.0,123,435,99.998,"hip hop, pop"
Kanye West,Gold Digger,207626,VERDADERO,2005,78,629,696,1,-5.572,0,348,195,0.0,554,623,93.034,hip hop
Plain White T's,Hey There Delilah,232533,FALSO,2005,78,656,291,2,-10.572,1,293,872,0.0,114,298,103.971,pop
Sean Paul,Temperature,218573,FALSO,2005,78,951,600,0,-4.675,0,685,106,0.0,712,822,125.04,"hip hop, pop"
50 Cent,Candy Shop,209106,VERDADERO,2005,79,614,574,11,-7.961,1,466,253,3.2e-05,380,755,125.173,"hip hop, pop"
The Fray,How to Save a Life,262533,FALSO,2005,79,640,743,10,-4.08,1,379,269,0.0,101,361,122.035,pop
Gorillaz,Feel Good Inc.,222640,FALSO,2005,82,818,705,6,-6.679,1,177,836,233,613,772,138.559,hip hop
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,FALSO,2005,82,778,824,10,-5.892,0,707,284,0.0,405,758,100.024,"pop, latin"
Jim Jones,We Fly High,236080,VERDADERO,2006,0,685,800,1,-6.564,1,298,847,0.0,920,483,120.226,"hip hop, pop"
P!nk,Stupid Girls,197173,VERDADERO,2006,0,683,886,4,-5.045,0,710,738,188,524,566,100.04,pop
P!nk,Who Knew,208493,FALSO,2006,0,688,734,9,-4.569,1,274,462,0.0,756,460,140.004,pop
P!nk,U + Ur Hand,214386,VERDADERO,2006,0,709,891,0,-3.688,1,528,144,0.0,340,886,141.04,pop
Rascal Flatts,Life is a Highway,276773,FALSO,2006,0,561,936,5,-5.409,1,613,185,0.0,102,594,103.055,country
Westlife,The Rose,219106,FALSO,2006,0,272,203,9,-9.706,1,294,784,0.0,805,172,109.581,pop
Shayne Ward,That's My Goal,219600,FALSO,2006,1,286,508,2,-5.966,1,336,372,0.0,270,140,68.637,pop
Shayne Ward,No Promises,223066,FALSO,2006,1,500,498,4,-6.087,1,260,527,0.0,123,182,79.798,pop
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152333,FALSO,2006,17,847,861,6,-6.632,1,603,278,29,626,724,127.894,set()
Snow Patrol,You're All I Have,273333,FALSO,2006,35,467,921,2,-4.554,1,450,5.48e-05,566,176,501,132.013,"World/Traditional, rock, pop"
Nick Lachey,What's Left Of Me,244613,FALSO,2006,37,420,742,7,-5.665,1,375,142,0.0,145,294,149.965,pop
Armand Van Helden,My My My - Radio Edit,190000,FALSO,2006,40,678,768,7,-8.502,1,137,195,866,322,758,127.51,"pop, Dance/Electronic"
LL Cool J,Control Myself,233973,FALSO,2006,42,825,876,10,-6.556,0,211,928,1.2e-05,205,480,120.066,"hip hop, pop, R&B"
BeyoncÃ©,Check On It (feat. Slim Thug),211186,FALSO,2006,45,700,887,7,-3.887,1,218,805,0.0,376,883,166.104,"pop, R&B"
Orson,No Tomorrow,167493,FALSO,2006,46,656,624,3,-4.623,0,691,65,0.0,278,735,124.082,pop
JoJo,Too Little Too Late,223680,FALSO,2006,48,535,823,6,-5.338,0,431,113,3.88e-06,146,685,83.001,"hip hop, pop, R&B"
James Morrison,Wonderful World,210066,FALSO,2006,49,474,710,1,-4.606,1,290,548,0.0,974,591,78.969,"pop, R&B"
Kelis,Bossy,273973,FALSO,2006,50,906,633,4,-5.316,1,190,182,8.34e-06,580,779,84.021,"pop, R&B, Dance/Electronic"
Ludacris,Runaway Love,280680,VERDADERO,2006,51,405,721,1,-6.97,1,283,329,0.0,252,815,92.854,"hip hop, pop"
Akon,Don't Matter,293066,VERDADERO,2006,52,801,454,2,-6.035,1,371,225,0.0,226,340,125.139,pop
Huey,"Pop, Lock & Drop It - Video Edit",261026,FALSO,2006,52,723,644,11,-6.863,0,222,308,0.0,352,645,144.09,"hip hop, pop"
Just Jack,Starz In Their Eyes,295933,FALSO,2006,52,670,800,3,-6.731,1,652,184,356,466,656,123.802,Dance/Electronic
Akon,I Wanna Love You,247066,VERDADERO,2006,53,865,450,0,-9.387,1,417,359,1.28e-06,308,352,99.989,pop
iio,Rapture (feat.Nadia Ali),253586,FALSO,2006,54,661,855,8,-8.403,1,377,722,185,199,601,123.943,Dance/Electronic
Diddy,Come to Me (feat. Nicole Scherzinger),276786,VERDADERO,2006,55,819,485,6,-6.45,0,756,176,0.0,658,386,96.998,"hip hop, pop"
Ciara,Promise,267413,FALSO,2006,56,697,629,9,-5.757,1,425,409,3.8e-06,819,439,123.279,"pop, R&B"
Jibbs,Chain Hang Low,207586,VERDADERO,2006,56,792,589,4,-6.869,0,262,259,128,114,778,157.147,"hip hop, pop"
The Raconteurs,"Steady, As She Goes",215266,FALSO,2006,56,525,578,9,-4.563,1,120,132,916,108,537,123.696,rock
Bow Wow,Outta My System (feat. T-Pain & JohntÃ¡ Austin),238266,FALSO,2006,57,772,590,6,-6.957,1,183,917,0.0,101,743,83.998,"hip hop, pop, R&B"
Fergie,London Bridge,241306,VERDADERO,2006,57,769,609,1,-5.894,1,357,216,0.0,166,633,90.951,"pop, R&B"
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),444333,VERDADERO,2006,57,859,681,1,-6.247,1,549,0.34,161,213,852,121.243,pop
MIKA,Love Today,235173,FALSO,2006,57,673,913,4,-4.981,1,664,304,298,113,587,124.484,pop
Omarion,Ice Box,256426,FALSO,2006,57,775,731,8,-5.446,1,134,189,0.0,129,821,131.105,"hip hop, pop, R&B"
Akon,Smack That,212360,VERDADERO,2006,58,940,743,5,-5.166,0,475,317,0.0,909,932,118.988,pop
Fergie,Clumsy,240426,FALSO,2006,58,731,563,2,-4.046,1,131,191,42,296,452,184.009,"pop, R&B"
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,FALSO,2006,58,711,761,8,-3.04,1,225,67,0.0,410,718,95.824,"hip hop, pop"
Baby Boy Da Prince,The Way I Live - Main Explicit,324906,VERDADERO,2006,59,880,438,0,-7.562,1,248,147,0.0,907,714,90.02,"hip hop, pop"
Ciara,Get Up (feat. Chamillionaire),261880,FALSO,2006,59,964,595,1,-6.887,0,109,248,5.14e-06,405,629,128.593,"pop, R&B"
Fat Joe,Make It Rain,247413,VERDADERO,2006,59,744,697,11,-5.063,0,197,106,0.0,842,767,149.28,"hip hop, pop"
Keane,Is It Any Wonder?,186173,FALSO,2006,59,489,955,11,-2.771,0,363,3.82e-05,178,334,816,129.352,pop
Razorlight,In The Morning,222453,FALSO,2006,59,616,855,4,-3.495,0,420,379,863,318,686,124.191,"rock, pop"
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",229813,VERDADERO,2006,60,886,620,5,-5.854,1,307,82,0.0,100,600,76.035,"hip hop, pop"
Busta Rhymes,Touch It,214960,VERDADERO,2006,61,658,551,1,-6.62,1,370,43,108,197,442,138.335,"hip hop, pop"
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151640,FALSO,2006,61,700,465,4,-6.815,1,358,544,0.0,606,719,108.102,"World/Traditional, pop"
Chingy,Pullin' Me Back,234133,VERDADERO,2006,62,786,511,7,-6.66,1,286,825,0.0,120,587,80.0,"hip hop, pop, R&B"
Ludacris,Money Maker,230613,VERDADERO,2006,62,551,598,1,-6.79,1,270,0.15,0.0,299,612,78.756,"hip hop, pop"
Amy Winehouse,You Know I'm No Good,256946,FALSO,2006,63,705,806,9,-3.607,1,309,132,428,701,734,103.383,R&B
Christina Aguilera,Ain't No Other Man,228906,FALSO,2006,63,862,742,7,-4.722,1,222,376,855,103,511,127.91,pop
E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,VERDADERO,2006,63,858,484,6,-7.448,0,277,241,1.8e-06,123,329,99.992,"hip hop, pop"
Fergie,Fergalicious,292373,VERDADERO,2006,63,906,584,8,-7.72,0,316,576,0.0,128,831,129.055,"pop, R&B"
Scissor Sisters,I Don't Feel Like Dancin',288360,FALSO,2006,63,707,923,7,-3.409,1,276,195,0.0,342,845,108.023,"pop, rock, Dance/Electronic"
Fergie,Glamorous,246600,VERDADERO,2006,64,811,757,0,-6.447,1,230,298,0.0,103,565,130.993,"pop, R&B"
James Morrison,You Give Me Something,213173,FALSO,2006,64,559,688,7,-6.496,1,114,216,0.0,855,578,79.753,"pop, R&B"
T.I.,What You Know,274333,VERDADERO,2006,64,551,810,11,-4.365,1,344,155,0.0,169,332,73.464,"hip hop, pop"
Take That,Patience,202066,FALSO,2006,64,309,783,10,-4.154,1,405,142,1.11e-06,118,372,175.788,pop
Take That,Patience,202066,FALSO,2006,64,309,783,10,-4.154,1,405,142,1.11e-06,118,372,175.788,pop
Cherish,Do It To It,226293,FALSO,2006,65,826,670,2,-5.559,1,169,798,0.0,495,794,74.007,"hip hop, pop, R&B"
Evanescence,Call Me When You're Sober,214706,FALSO,2006,65,450,883,7,-4.094,1,524,193,0.0,293,328,93.41,metal
Christina Aguilera,Candyman,194213,FALSO,2006,66,686,789,8,-4.713,0,230,125,147,142,720,172.976,pop
Justin Timberlake,Summer Love,252973,FALSO,2006,66,606,591,0,-7.228,0,870,756,0.0,328,477,95.802,pop
Yung Joc,It's Goin' Down (feat. Nitti),241840,VERDADERO,2006,66,888,577,1,-7.702,0,612,986,0.0,131,609,84.003,"hip hop, pop"
Lil Jon,Snap Yo Fingers,274386,FALSO,2006,67,835,757,8,-5.029,0,230,647,0.0,290,626,82.038,"hip hop, pop"
Ne-Yo,Sexy Love,220853,FALSO,2006,67,693,516,8,-6.446,1,413,297,127,604,494,94.02,"pop, R&B"
Razorlight,America,249760,FALSO,2006,67,447,568,2,-4.975,1,305,295,3.26e-06,355,149,90.933,"rock, pop"
Ciara,Like a Boy,237053,FALSO,2006,68,701,724,0,-5.751,0,145,267,0.0,867,425,132.035,"pop, R&B"
Lily Allen,Smile,196893,VERDADERO,2006,68,632,639,5,-5.938,1,259,143,0.0,221,733,95.506,pop
The Fratellis,Chelsea Dagger,215306,FALSO,2006,68,511,815,7,-3.14,1,144,491,0.0,826,586,154.514,rock
Bob Sinclar,Rock This Party - Everybody Dance Now,245466,FALSO,2006,69,893,823,5,-3.708,0,122,714,0.0,509,902,128.009,"pop, Dance/Electronic"
MIKA,Grace Kelly,187733,FALSO,2006,69,675,828,0,-5.799,1,454,242,102,364,669,122.229,pop
Rascal Flatts,What Hurts The Most,214106,FALSO,2006,69,537,674,5,-5.134,0,277,88,0.0,265,330,136.002,country
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573,FALSO,2006,70,687,723,7,-4.751,1,709,122,102,573,432,76.0,pop
Rihanna,Unfaithful,226973,FALSO,2006,70,588,391,0,-8.607,0,334,839,0.0,227,349,144.069,"hip hop, pop, R&B"
Amy Winehouse,Rehab,214946,FALSO,2006,71,407,558,0,-13.609,1,552,541,1.51e-06,340,777,71.815,R&B
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,FALSO,2006,71,535,948,6,-4.19,0,356,225,0.0,376,778,103.183,rock
Gwen Stefani,The Sweet Escape,246466,FALSO,2006,71,756,770,1,-3.502,1,343,191,0.0,178,730,119.961,"pop, R&B"
Arctic Monkeys,When The Sun Goes Down,202133,VERDADERO,2006,72,348,875,11,-4.758,0,199,341,0.0,117,407,169.152,rock
Justin Timberlake,My Love (feat. T.I.),276160,FALSO,2006,72,771,680,11,-5.881,0,224,277,1.18e-05,682,808,119.952,pop
Cassie,Me & U,192213,FALSO,2006,73,803,454,8,-4.802,0,294,352,0.0,655,739,99.99,"pop, R&B"
Rihanna,SOS,238920,FALSO,2006,73,677,671,7,-4.905,1,361,4,5.07e-05,413,527,137.046,"hip hop, pop, R&B"
The Kooks,Naive,203506,FALSO,2006,73,391,808,8,-6.209,0,892,759,0.0,149,737,100.304,rock
Gnarls Barkley,Crazy,177466,FALSO,2006,74,855,587,8,-4.589,1,336,505,714,105,640,111.97,"hip hop, R&B"
The Red Jumpsuit Apparatus,Face Down,192000,FALSO,2006,74,545,932,7,-2.189,0,399,665,0.0,127,464,92.956,pop
Muse,Supermassive Black Hole,212439,FALSO,2006,75,668,921,7,-3.727,1,439,492,517,877,782,120.0,rock
Ne-Yo,So Sick,207186,FALSO,2006,75,452,574,6,-8.336,1,310,246,0.0,189,580,92.791,"pop, R&B"
Amy Winehouse,Back To Black,241293,VERDADERO,2006,76,403,422,7,-13.964,0,373,134,2.05e-05,861,378,122.728,R&B
Fergie,Big Girls Don't Cry (Personal),268120,FALSO,2006,76,708,641,7,-4.296,1,335,205,0.0,945,253,113.082,"pop, R&B"
My Chemical Romance,Welcome to the Black Parade,311106,FALSO,2006,76,217,905,2,-4.103,1,752,289,11,222,236,96.95,rock
Red Hot Chili Peppers,Dani California,282160,FALSO,2006,76,556,913,0,-2.36,1,437,193,8.59e-06,346,730,96.184,rock
Justin Timberlake,SexyBack (feat. Timbaland),242733,VERDADERO,2006,78,967,583,7,-5.562,0,789,584,0.0,519,964,117.0,pop
Nelly Furtado,Maneater,258893,FALSO,2006,79,796,777,6,-4.81,1,397,261,358,121,787,132.722,"hip hop, pop, latin"
